Transaction Date|Transaction Time|Transaction ID|HDR|UPC|CPN|TND|TAX|FTR
2023-02-02|05:24:21|24389|{'Version': '', 'Organization': '', 'Loyality': '44674934368', 'Tax ID': '', 'Tax ID State Code': '', 'Transaction Status': '', '': ''}|||||
2023-02-02|05:24:21|24389||{'Product Code': '7003837286', 'Retail Type': 'L', 'Multiple': '6.19', 'Price': '6.19', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '4900005011', 'Retail Type': 'L', 'Multiple': '1.79', 'Price': '1.79', 'Quantity': '8', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7003861881', 'Retail Type': 'L', 'Multiple': '3.99', 'Price': '3.99', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7003858505', 'Retail Type': 'L', 'Multiple': '6.59', 'Price': '6.59', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '20114700000', 'Retail Type': 'L', 'Multiple': '2.99', 'Price': '2.99', 'Quantity': '10', 'Weight': '0.05', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '20201200000', 'Retail Type': 'L', 'Multiple': '1.99', 'Price': '1.99', 'Quantity': '2', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7562065074', 'Retail Type': 'L', 'Multiple': '6.89', 'Price': '6.89', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '3338366401', 'Retail Type': 'L', 'Multiple': '1.99', 'Price': '1.99', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '4166', 'Retail Type': 'L', 'Multiple': '6.76', 'Price': '6.76', 'Quantity': '3', 'Weight': '1.75', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7003832080', 'Retail Type': 'L', 'Multiple': '3.29', 'Price': '3.29', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7003838028', 'Retail Type': 'L', 'Multiple': '6.79', 'Price': '6.79', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '4240031864', 'Retail Type': 'L', 'Multiple': '3.99', 'Price': '3.99', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '4240029324', 'Retail Type': 'L', 'Multiple': '5.99', 'Price': '5.99', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389||{'Product Code': '7003865302', 'Retail Type': 'L', 'Multiple': '4.95', 'Price': '4.95', 'Quantity': '1', 'Weight': '0', '': ''}||||
2023-02-02|05:24:21|24389|||{'Coupon Type': '', 'Coupon code': '', 'Amount': '', 'Dept Code': '', 'field5': '', 'field6': '', 'field7': ''}|||
2023-02-02|05:24:21|24389||||{'Media Code': 'Credit Card', 'Account Number': '', 'Tendered Amount': '9.68', 'field4': '', 'field5': '', 'field6': '', 'field7': ''}||
2023-02-02|05:24:21|24389|||||{'Tax Code': '', '': '', 'Tax Collected': '9.68', 'field5': '', 'field6': '', 'field7': ''}|
2023-02-02|05:24:21|24389||||||{'Detail Count': 17, '': '', 'Field3': '', 'Tax Total': '9.68', 'Transaction Total': '109.00', 'Field6': '', 'Field7': ''}
